iter	Passed	Remaining
1076	4597	7402
1077	4599	7394
1078	4601	7386
1079	4603	7378
1080	4618	7391
1081	4623	7388
1082	4628	7384
1083	4633	7382
1084	4638	7378
1085	4642	7374
1086	4647	7371
1087	4666	7389
1088	4681	7403
1089	4687	7401
1090	4692	7398
1091	4712	7418
1092	4717	7415
1093	4722	7411
1094	4727	7409
1095	4733	7407
1096	4738	7403
1097	4744	7401
1098	4749	7398
1099	4754	7395
1100	4760	7393
1101	4765	7390
1102	4770	7386
1103	4775	7384
1104	4780	7381
1105	4785	7377
1106	4789	7372
1107	4794	7368
1108	4798	7363
1109	4801	7358
1110	4804	7351
1111	4807	7346
1112	4811	7340
1113	4814	7333
1114	4817	7327
1115	4819	7319
1116	4821	7312
1117	4824	7305
1118	4826	7297
1119	4828	7289
1120	4830	7282
1121	4832	7274
1122	4834	7266
1123	4836	7258
1124	4838	7251
1125	4841	7245
1126	4843	7237
1127	4845	7229
1128	4848	7222
1129	4850	7215
1130	4852	7207
1131	4854	7200
1132	4863	7203
1133	4866	7197
1134	4880	7207
1135	4885	7204
1136	4891	7202
1137	4897	7199
1138	4901	7194
1139	4906	7191
1140	4911	7188
1141	4915	7183
1142	4919	7179
1143	4923	7174
1144	4926	7168
1145	4930	7162
1146	4933	7156
1147	4936	7150
1148	4938	7143
1149	4941	7136
1150	4943	7129
1151	4945	7121
1152	4947	7114
1153	4950	7107
1154	4953	7101
1155	4955	7094
1156	4957	7086
1157	4959	7079
1158	4961	7071
1159	4970	7074
1160	4973	7068
1161	4988	7078
1162	4994	7076
1163	4998	7072
1164	5003	7069
1165	5008	7066
1166	5014	7064
1167	5019	7060
1168	5023	7056
1169	5027	7051
1170	5031	7047
1171	5036	7043
1172	5040	7038
1173	5044	7033
1174	5051	7033
1175	5055	7028
1176	5058	7023
1177	5062	7018
1178	5066	7013
1179	5069	7006
1180	5071	7000
1181	5074	6993
1182	5076	6986
1183	5079	6979
1184	5082	6973
1185	5084	6966
1186	5087	6960
1187	5089	6953
1188	5093	6948
1189	5095	6941
1190	5111	6952
1191	5117	6951
1192	5122	6948
1193	5128	6945
1194	5134	6943
1195	5140	6941
1196	5145	6937
1197	5150	6934
1198	5158	6934
1199	5161	6929
1200	5166	6926
1201	5171	6922
1202	5175	6917
1203	5179	6913
1204	5183	6908
1205	5187	6903
1206	5190	6897
1207	5194	6892
1208	5197	6886
1209	5200	6881
1210	5203	6874
1211	5205	6867
1212	5207	6860
1213	5210	6854
1214	5212	6847
1215	5215	6840
1216	5217	6833
1217	5219	6826
1218	5221	6819
1219	5223	6811
1220	5225	6805
1221	5228	6798
1222	5230	6791
1223	5232	6784
1224	5234	6776
1225	5236	6769
1226	5238	6762
1227	5240	6755
1228	5245	6752
1229	5247	6745
1230	5250	6738
1231	5252	6731
1232	5254	6724
1233	5256	6718
1234	5260	6713
1235	5262	6705
1236	5264	6699
1237	5266	6691
1238	5268	6684
1239	5270	6677
1240	5272	6670
1241	5293	6686
1242	5297	6683
1243	5302	6679
1244	5306	6674
1245	5310	6670
1246	5313	6664
1247	5317	6659
1248	5321	6654
1249	5325	6650
1250	5328	6644
1251	5331	6638
1252	5335	6634
1253	5339	6629
1254	5342	6624
1255	5345	6618
1256	5352	6616
1257	5371	6631
1258	5383	6635
1259	5388	6633
1260	5394	6631
1261	5400	6628
1262	5406	6626
1263	5411	6623
1264	5417	6620
1265	5444	6644
1266	5449	6641
1267	5456	6639
1268	5461	6636
1269	5466	6632
1270	5472	6630
1271	5477	6626
1272	5482	6623
1273	5487	6620
1274	5493	6617
1275	5498	6614
1276	5504	6612
1277	5509	6608
1278	5513	6604
1279	5517	6599
1280	5522	6595
1281	5525	6590
1282	5529	6585
1283	5533	6580
1284	5537	6575
1285	5539	6569
1286	5542	6563
1287	5544	6556
1288	5546	6549
1289	5549	6542
1290	5551	6536
1291	5553	6529
1292	5555	6522
1293	5558	6516
1294	5560	6509
1295	5562	6502
1296	5565	6496
1297	5568	6490
1298	5570	6483
1299	5572	6476
1300	5574	6469
1301	5576	6462
1302	5578	6456
1303	5580	6449
1304	5582	6442
1305	5584	6435
1306	5586	6429
1307	5588	6421
1308	5590	6415
1309	5593	6408
1310	5595	6401
1311	5612	6412
1312	5641	6436
1313	5646	6433
1314	5652	6430
1315	5656	6426
1316	5661	6422
1317	5667	6420
1318	5672	6416
1319	5676	6412
1320	5682	6409
1321	5687	6406
1322	5692	6401
1323	5697	6398
1324	5701	6394
1325	5705	6389
1326	5708	6383
1327	5716	6383
1328	5718	6377
1329	5721	6370
1330	5724	6365
1331	5726	6358
1332	5746	6371
1333	5751	6367
1334	5755	6363
1335	5761	6360
1336	5765	6356
1337	5770	6353
1338	5776	6350
1339	5782	6348
1340	5792	6349
1341	5798	6347
1342	5804	6344
1343	5810	6342
1344	5815	6338
1345	5820	6334
1346	5826	6332
1347	5831	6329
1348	5837	6326
1349	5842	6322
1350	5847	6319
1351	5854	6317
1352	5859	6313
1353	5863	6309
1354	5868	6306
1355	5874	6302
1356	5878	6298
1357	5884	6295
1358	5889	6292
1359	5894	6289
1360	5900	6285
1361	5905	6282
1362	5910	6278
1363	5914	6274
1364	5919	6271
1365	5923	6266
1366	5927	6261
1367	5935	6260
1368	5939	6256
1369	5943	6251
1370	5946	6246
1371	5967	6258
1372	5980	6263
1373	5985	6260
1374	5990	6256
1375	5996	6253
1376	6001	6250
1377	6006	6246
1378	6011	6242
1379	6017	6240
1380	6023	6237
1381	6030	6235
1382	6035	6231
1383	6039	6227
1384	6044	6223
1385	6055	6226
1386	6059	6221
1387	6065	6218
1388	6070	6215
1389	6075	6211
1390	6081	6207
1391	6085	6204
1392	6090	6199
